ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7468,0,47,3,14,1442926592,6856,140733560565392,246161637309,1,28,1956148,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,7533,0,48,3,14,1442926592,6979,140733560565392,246161637309,1,28,1956501,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,7551,0,49,3,14,1442926592,6979,140733560565392,246161637309,1,28,1956854,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,10588,0,76,4,14,1442926592,9495,140733560565392,246161637309,1,29,3060545,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$format,12243,0,109,5,14,1442926592,10959,140733560565392,246161637309,1,28,3221972,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$format,12243,0,110,5,14,1442926592,10959,140733560565392,246161637309,1,28,3222328,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,18925,0,188,8,14,1443557376,16223,140733560565392,246161637309,1,28,3549780,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,18944,0,188,8,14,1443557376,16240,140733560565392,246161637309,1,28,3561164,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22865,0,210,9,14,1443557376,19706,140733560565392,246161637309,1,28,3670513,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,22865,0,210,9,14,1443557376,19706,140733560565392,246161637309,1,28,3670869,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,22865,0,210,9,14,1443557376,19706,140733560565392,246161637309,1,28,3671225,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,22865,0,210,9,14,1443557376,19706,140733560565392,246161637309,1,28,3671581,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSImage$setStorageDirectories,22867,0,211,9,14,1443557376,19706,140733560565392,246161637309,1,28,3671937,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,23014,0,214,9,14,1443557376,19837,140733560565392,246161637309,1,28,3689721,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,23015,0,215,9,14,1443557376,19837,140733560565392,246161637309,1,28,3690077,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,23022,0,215,9,14,1443557376,19837,140733560565392,246161637309,1,28,3690433,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,23039,0,215,9,14,1443557376,19837,140733560565392,246161637309,1,28,3690789,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/FSImage$setStorageDirectories,23041,0,215,9,14,1443557376,19837,140733560565392,246161637309,1,28,3691145,398,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,24412,0,226,9,14,1443557376,20822,140733560565392,246161637309,1,28,3767499,398,0,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,26963,0,236,10,14,1579884544,22790,140733560565392,246161637309,1,28,3869384,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/FSNamesystem$createFsOwnerPermissions,28042,0,245,11,14,1579884544,23689,140733560565392,246161637309,1,28,3908661,421,0,45056,4096
EXIT-org/apache/hadoop/dfs/FSNamesystem$createFsOwnerPermissions,28042,0,245,11,14,1579884544,23689,140733560565392,246161637309,1,28,3909020,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/INode$setPermissionStatus,28042,0,246,11,14,1579884544,23689,140733560565392,246161637309,1,28,3909379,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/INode$setUser,28042,0,246,11,14,1579884544,23689,140733560565392,246161637309,1,28,3909738,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,28045,0,248,11,14,1579884544,23689,140733560565392,246161637309,1,28,3918213,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,28045,0,248,11,14,1579884544,23689,140733560565392,246161637309,1,28,3918572,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,28045,0,249,11,14,1579884544,23689,140733560565392,246161637309,1,28,3918931,421,0,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,28225,0,249,11,14,1579884544,23821,140733560565392,246161637309,1,28,3919290,421,0,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,28364,0,249,11,14,1579884544,23887,140733560565392,246161637309,1,28,3920450,421,0,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,28364,0,249,11,14,1579884544,23887,140733560565392,246161637309,1,28,3920809,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getGroupSerialNumber,28364,0,250,11,14,1579884544,23887,140733560565392,246161637309,1,28,3921168,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,28364,0,250,11,14,1579884544,23887,140733560565392,246161637309,1,28,3921527,421,0,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,28364,0,250,11,14,1579884544,23887,140733560565392,246161637309,1,28,3921886,421,0,45056,4096
