Codeblock,minflt,majflt,utime,stime,num_threads,vsize,rss,processor,stack_size,rchar,wchar,read_bytes,write_bytes,canceled_write_bytes,num_file_desc,nicRcvBytes,nicRcvPckts,nicSentBytes,nicSentPckts,IPInTruncatedPkts,IPInOctets,IPOutOctets
processing input arguments to MHM worker_host,1669,0,3,1,1,179798016,1261,0,140519468089453,333733,105,0,4096,0,5,21542035767,83672829,32688786470,25225529,0,17989783760,31300204086
checking if we are allowed to make progress_host,1858,0,4,1,1,179798016,1263,0,140519468089453,338271,248,0,12288,0,5,21542037770,83672839,32688786754,25225531,0,17989785772,31300205582
starting a database transaction for updating the WORKERS table_network,1943,0,4,1,1,180015104,1270,0,140519468089453,338271,306,0,16384,0,6,21542039868,83672853,32688788988,25225542,0,17989787738,31300207458
checking the WORKERS table to see if the worker is known in the database_network,2006,0,4,1,1,180015104,1300,0,140519468089453,340350,523,0,20480,0,6,21542040900,83672860,32688789888,25225546,0,17989789070,31300208470
adding the woker id in the WORKER table if the worker is not known in database_network,2052,0,4,1,1,180015104,1300,0,140519468089453,340350,627,0,24576,0,6,21542043915,83672876,32688790892,25225550,0,17989791934,31300209919
commiting to the WORKERS table in the current database transaction_network,2062,0,4,1,1,180015104,1300,0,140519468089453,340350,835,0,32768,0,6,21542044589,83672882,32688792008,25225554,0,17989793310,31300212237
cleaning up from previous failed runs_network,2062,0,4,1,1,180015104,1300,0,140519468089453,340350,835,0,32768,0,6,21542045487,83672887,32688793220,25225558,0,17989795143,31300212289
checking that we do not have too many instances running on the machine_network,2079,0,4,1,1,180015104,1300,1,140519468089453,340350,904,0,36864,0,6,21542048844,83672908,32688794512,25225562,0,17989796962,31300214458
checking if this machine is too busy_host,2105,0,4,1,1,180015104,1300,1,140519468089453,340350,1072,0,45056,0,6,21542050822,83672917,32688795896,25225566,0,17989799807,31300217787
picking a reasonable CVS timestamp_network,2108,0,4,1,1,180015104,1300,1,140519468097176,340350,1139,0,49152,0,6,21542052026,83672923,32688797344,25225570,0,17989801542,31300220014
getting the build OID for the selected CVS tag_network,2118,0,4,1,1,180015104,1300,1,140519468089453,340350,1218,0,53248,0,6,21542381548,83675477,32688835366,25225757,0,17990018318,31300255198
creating an entry for a cvs tag if there is no entry in the BUILDS table_network,2118,0,4,1,1,180015104,1300,1,140519468089453,340350,1323,0,57344,0,6,21542383726,83675495,32688837174,25225764,0,17990019450,31300256826
inserting the worker information in the RUNNING table_network,2118,0,4,1,1,180015104,1300,1,140519468089453,340350,1323,0,57344,0,6,21542384202,83675498,32688838874,25225768,0,17990019450,31300256878
disconnecting from the database_network,2213,0,4,1,1,180015104,1301,2,140519468089453,504903,1577,0,61440,0,6,21542386851,83675518,32688840662,25225772,0,17990023733,31300259505
starting New Health Monitor job_host,2945,0,5,1,1,180232192,1302,2,140519468113120,512757,2633,0,102400,0,9,21542396727,83675586,32688870288,25225819,0,17990031453,31300288946
checking for make command specified in the environment_host,3212,0,5,1,1,180232192,1309,3,140519468089453,538669,2924,0,114688,0,5,21542400133,83675608,32688876174,25225832,0,17990033849,31300296538
