Codeblock,minflt,majflt,utime,stime,num_threads,vsize,rss,processor,stack_size,rchar,wchar,read_bytes,write_bytes,canceled_write_bytes,num_file_desc,nicRcvBytes,nicRcvPckts,nicSentBytes,nicSentPckts,IPInTruncatedPkts,IPInOctets,IPOutOctets
processing input arguments to MHM worker_host,1547,0,2,0,1,179662848,1174,0,140517471595094,330870,0,0,0,0,5,20866498204,80637333,25988442167,20504944,0,17375355168,24882996217
checking if we are allowed to make progress_host,1669,0,3,1,1,179798016,1263,0,140517471207325,333733,105,0,4096,0,5,20866502493,80637360,25988444073,20504955,0,17375358709,24882997925
starting a database transaction for updating the WORKERS table_network,1953,0,4,1,1,180015104,1272,2,140517471230992,338310,400,0,20480,0,6,20866504537,80637376,25988446591,20504968,0,17375362229,24883002257
checking the WORKERS table to see if the worker is known in the database_network,2052,0,4,1,1,180015104,1302,3,140517471207325,340389,627,0,24576,0,6,20866506760,80637393,25988447491,20504972,0,17375364007,24883003706
adding the woker id in the WORKER table if the worker is not known in database_network,2059,0,4,1,1,180015104,1302,3,140517471207325,340389,737,0,28672,0,6,20866507440,80637399,25988448495,20504976,0,17375364904,24883004750
commiting to the WORKERS table in the current database transaction_network,2062,0,4,1,1,180015104,1302,3,140517471207325,340389,835,0,32768,0,6,20866509423,80637412,25988449611,20504980,0,17375366393,24883006076
cleaning up from previous failed runs_network,2079,0,4,1,1,180015104,1302,2,140517471207325,340389,904,0,36864,0,6,20866510843,80637420,25988450823,20504984,0,17375368221,24883008233
checking that we do not have too many instances running on the machine_network,2106,0,4,1,1,180015104,1302,2,140517471207325,340389,1006,0,40960,0,6,20866511927,80637428,25988452103,20504988,0,17375369676,24883010238
checking if this machine is too busy_host,2106,0,4,1,1,180015104,1302,2,140517471207325,340389,1072,0,45056,0,6,20866512537,80637433,25988453487,20504992,0,17375370156,24883011614
picking a reasonable CVS timestamp_network,2106,0,4,1,1,180015104,1302,2,140517471207325,340389,1072,0,45056,0,6,20866513089,80637437,25988454935,20504996,0,17375370156,24883011666
getting the build OID for the selected CVS tag_network,2119,0,4,1,1,180015104,1302,2,140517471207325,340389,1218,0,53248,0,6,20866810691,80639422,25988460498,20505029,0,17375583110,24883019547
creating an entry for a cvs tag if there is no entry in the BUILDS table_network,2119,0,4,1,1,180015104,1302,2,140517471207325,340389,1323,0,57344,0,6,20866812564,80639431,25988462306,20505036,0,17375584669,24883021175
inserting the worker information in the RUNNING table_network,2214,0,4,1,1,180015104,1302,3,140517471207325,504894,1577,0,61440,0,6,20866813906,80639440,25988464006,20505040,0,17375587243,24883023853
disconnecting from the database_network,2465,0,4,1,1,180015104,1303,0,140517471230992,506850,1797,0,73728,0,6,20866818176,80639466,25988473720,20505061,0,17375590688,24883034410
starting New Health Monitor job_host,3198,0,5,2,1,180232192,1310,2,140517471207325,538660,2834,0,110592,0,5,20866825146,80639517,25988494574,20505094,0,17375596398,24883054458
checking for make command specified in the environment_host,3198,0,5,2,1,180232192,1310,2,140517471207325,538660,2834,0,110592,0,5,20866825890,80639523,25988497228,20505099,0,17375596979,24883054510
executing the hack to temporarily suspend debug builds_host,3214,0,5,2,1,180232192,1310,2,140517471207325,538660,2918,0,114688,0,5,20866827819,80639535,25988499966,20505104,0,17375598221,24883057158
checking out from CVS_network,3273,0,5,2,1,180232192,1310,2,140517471230992,538660,3157,0,122880,0,9,20866829101,80639545,25988502848,20505109,0,17375599489,24883062782
getting the list of regression tests to run_host,4845,0,6,3,1,180232192,1310,0,140517471230992,1435308688,1120017145,0,882446336,40296448,6,21228487158,80919336,26070585086,20603502,0,17723107130,24960960374
filtering the list of tests based on the group and test parameters_network,5026,0,7,3,1,180232192,1310,2,140517471215048,1436060951,1120570411,0,882999296,40296448,6,21228492515,80919369,26070589598,20603516,0,17723113354,24960965349
checking if there is a more critical commit we could work on_network,5034,0,7,3,1,180232192,1310,3,140517471207325,1436060951,1120570504,0,883003392,40296448,6,21228493563,80919378,26070591786,20603520,0,17723114010,24960967589
disconnecting from the database_network,5034,0,7,3,1,180232192,1310,3,140517471207325,1436060951,1120570568,0,883007488,40296448,5,21228493937,80919381,26070591850,20603521,0,17723115389,24960969982
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,5034,0,7,3,1,180232192,1310,3,140517471207325,1436060951,1120570711,0,883011584,40296448,5,21228495921,80919396,26070594172,20603526,0,17723116455,24960972358
running another simple hack to avoid running tsts on debug builds_host,5189,0,8,3,1,180232192,1312,2,140517471207325,1436062908,1120570943,0,883023872,40296448,6,21228496467,80919400,26070596638,20603531,0,17723118779,24960981698
checking if there is a more critical commit we could work on_network,5298,0,8,3,1,180367360,1312,3,140517471207325,1436074865,1120571000,0,883027968,40296448,6,21228504063,80919450,26070608992,20603554,0,17723124685,24960986614
disconnecting from the database_network,5307,0,8,3,1,180367360,1312,3,140517471207325,1436074865,1120571093,0,883032064,40296448,6,21228505165,80919460,26070611774,20603559,0,17723126522,24960989902
running two hacks to avoid problems with ISS750 regressions and Cell MFC tests that have simdebug instruction set_host,5308,0,8,3,1,180367360,1312,3,140517471207325,1436074865,1120571157,0,883036160,40296448,5,21228506520,80919469,26070614620,20603564,0,17723127241,24960992871
running another simple hack to avoid running tsts on debug builds_host,5308,0,8,3,1,180367360,1312,3,140517471207325,1436074865,1120571300,0,883040256,40296448,5,21228508137,80919478,26070617610,20603569,0,17723128558,24960995771
checking the existence of lock file_host,5308,0,8,3,1,180367360,1312,3,140517471207325,1436074865,1120571395,0,883044352,40296448,5,21228508887,80919485,26070620696,20603574,0,17723129090,24960998767
checking the space in worker temp directory_host,5319,0,8,3,1,180367360,1312,0,140517471207325,1436074865,1120571460,0,883048448,40296448,5,21228511769,80919500,26070624418,20603583,0,17723131610,24961002327
running the test cases on the worker_host,5382,0,8,4,1,180367360,1314,0,140517471207325,1436084910,1120571679,0,883052544,40296448,5,21228513735,80919515,26070627640,20603588,0,17723133214,24961005459
figuring out the result of the test_host,6918,0,9,5,1,180367360,1328,2,140517471207325,2550383243,1289169178,4079616,1052319744,78249984,5,21233313205,80968648,26188914368,20686757,0,17727037074,25074224795
calculating the time it took to run the test_host,7123,0,9,5,1,180367360,1328,0,140517471385730,2550389581,1289169402,4079616,1052327936,78254080,6,21233315514,80968658,26188915704,20686761,0,17727040227,25074230435
writing the results to the results table in database_network,7803,0,9,6,1,180367360,1328,0,140517471207325,2550471862,1289221513,4079616,1052393472,78254080,5,21233318268,80968675,26188922958,20686776,0,17727041045,25074231779
