time,user_cpu,sys_cpu,min_fault,virtual_mem,ram_mem,bytes_read,bytes_write,sockets,num_fd,Servlet_1,Servlet_2,Servlet_3,Servlet_4,Servlet_5,Servlet_6,Servlet_7,Servlet_8,Servlet_9,Servlet_10,Servlet_11,Servlet_12,Servlet_13,Servlet_14,Servlet_15,Servlet_16,Servlet_17,Servlet_18,Servlet_19,Servlet_20,Servlet_21,Servlet_22,Servlet_23,Servlet_24,Servlet_25,Servlet_26,Servlet_27,Servlet_28,Servlet_29,Servlet_30,Servlet_31,Servlet_32,Servlet_33,Servlet_34,Servlet_35,Servlet_36,Servlet_37,Servlet_38,Servlet_39,Servlet_40,Servlet_41,Servlet_42,Servlet_43,Servlet_44,Servlet_45,Servlet_46,8445_bytesSent,8445_bytesReceived,8445_requestCount,8445_maxTime,8445_processingTime,8445_errorCount,RequestProcessor_1,RequestProcessor_2,RequestProcessor_3,SQL_source_1,SQL_source_2,SQL_source_3,SQL_source_4,num_8445_requests
2.3686,-0.34715,-0.45397,-0.26839,3.9659,3.7566,-0.015809,-0.32558,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.6709,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055771,-0.28274,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.062317,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0061507,0.0016766,0.012695,2.9292,0.0092945,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3694,-0.21572,-0.32759,-0.1933,3.9659,3.7566,-0.015809,-0.22162,0.12414,0.12379,-0.041109,-0.10657,-0.1642,-0.1991,-0.0077356,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055382,-0.20754,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.003139,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0071475,0.013388,0.020732,2.9292,0.014888,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3703,-0.36507,-0.42238,-0.2818,3.9659,3.7566,-0.015809,-0.33857,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.6076,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055434,-0.3078,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.23823,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0060786,-0.0022068,0.010686,2.9292,0.010104,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3712,-0.19183,-0.35919,-0.25498,3.9659,3.7566,-0.015809,-0.24761,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,0.036169,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.05438,-0.28274,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.095045,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0069879,0.0023979,0.014705,2.9292,0.016401,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.372,0.041152,-0.13802,-0.19866,3.9659,3.7566,-0.015809,-0.22162,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.56242,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.048574,-0.20754,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.25678,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.18251,0.013833,0.018723,2.9292,0.017445,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3729,-0.20377,-0.2644,-0.31398,3.9659,3.7566,-0.015809,-0.29959,0.12414,0.12379,-0.041109,-0.10657,-0.1642,-0.1991,0.046124,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055872,-0.3078,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.052231,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0068349,-0.0059443,0.010686,2.9292,0.014962,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3738,-0.02456,-0.074831,-0.3703,3.9659,3.7566,-0.015809,-0.35157,-0.001858,-0.0022845,-0.041109,-0.10657,-0.1642,-0.1991,-0.57007,-0.6955,-0.082717,-0.088355,1.6998,4.883,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.054076,-0.38299,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.72315,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.20264,-0.011225,0.02676,2.9292,0.013109,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3746,-0.21572,-0.296,-0.20403,3.9659,3.7566,-0.015809,-0.23461,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,0.050974,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.056988,-0.25767,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.37542,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.006913,0.004378,0.016714,2.9292,0.014085,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3755,-0.39494,-0.51717,-0.37299,3.9659,3.7566,-0.015809,-0.41654,-0.001858,-0.0022845,-0.041109,-0.10657,-0.1642,-0.1991,-0.60453,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.058208,-0.38299,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.013225,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0058792,-0.01431,0.0046584,2.9292,0.0072415,0.0078208,-0.99913,0.68657,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
2.3763,-0.38299,-0.35919,-0.29521,3.9659,3.7566,-0.015809,-0.29959,0.061141,0.060751,-0.041109,-0.10657,-0.1642,-0.1991,-0.10703,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057608,-0.3078,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.24641,0,-0.8366,0.042935,-0.051486,-0.053134,-0.02833,1.0389,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0068761,-0.0025752,0.012695,2.9292,0.012073,0.0078208,1.0006,0.68657,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
