time,user_cpu,sys_cpu,min_fault,virtual_mem,ram_mem,bytes_read,bytes_write,sockets,num_fd,Servlet_1,Servlet_2,Servlet_3,Servlet_4,Servlet_5,Servlet_6,Servlet_7,Servlet_8,Servlet_9,Servlet_10,Servlet_11,Servlet_12,Servlet_13,Servlet_14,Servlet_15,Servlet_16,Servlet_17,Servlet_18,Servlet_19,Servlet_20,Servlet_21,Servlet_22,Servlet_23,Servlet_24,Servlet_25,Servlet_26,Servlet_27,Servlet_28,Servlet_29,Servlet_30,Servlet_31,Servlet_32,Servlet_33,Servlet_34,Servlet_35,Servlet_36,Servlet_37,Servlet_38,Servlet_39,Servlet_40,Servlet_41,Servlet_42,Servlet_43,Servlet_44,Servlet_45,Servlet_46,8445_bytesSent,8445_bytesReceived,8445_requestCount,8445_maxTime,8445_processingTime,8445_errorCount,RequestProcessor_1,RequestProcessor_2,RequestProcessor_3,SQL_source_1,SQL_source_2,SQL_source_3,SQL_source_4,num_8445_requests
-1.7262,-0.048455,0.083146,-0.15843,1.2124,0.47398,-0.015809,1.2858,-0.064857,-0.06532,-0.041109,-0.10657,-0.1642,-0.1991,-0.71481,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.05647,-0.032099,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,1.5079,1.038,-0.14414,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.012822,0.038123,0.036807,0.33836,0.013729,0.0078208,1.0006,-1.4562,0.24166,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7253,-0.40688,-0.48557,-0.32471,1.2124,0.47398,-0.015809,-0.37756,-0.25386,-0.25443,-0.041109,-0.10657,-0.1642,-0.1991,-1.2274,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057863,-0.33286,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.12996,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0048585,-0.0068653,0.0086769,0.33836,0.0026588,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7245,-0.38299,-0.39078,-0.2523,1.2124,0.47398,-0.015809,-0.19563,-0.12786,-0.12836,-0.041109,-0.10657,-0.1642,-0.1991,-0.13817,-0.6955,-0.082717,-0.088355,0.34535,0.26908,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057424,-0.25767,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.30369,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.013164,0.0043166,0.018723,0.33836,0.012073,0.0078208,1.0006,-1.4562,-0.030509,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7236,-0.4487,-0.45397,-0.19062,1.2124,0.47398,-0.015809,-0.32558,-0.31686,-0.31746,-0.041109,-0.10657,-0.1642,-0.1991,-1.2708,-1.2508,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057019,-0.15742,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.18505,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0052333,0.019543,0.022742,0.33836,0.0032013,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7227,-0.28143,-0.45397,-0.23353,1.2124,0.47398,-0.015809,-0.16964,-0.12786,-0.12836,-0.041109,-0.10657,-0.1642,-0.1991,-0.16753,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057288,-0.23261,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.082772,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0061099,0.0083918,0.018723,0.33836,0.011687,0.0078208,1.0006,-1.4562,-0.030509,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7219,-0.53831,-0.42238,-0.27107,1.2124,0.47398,-0.015809,-0.33857,-0.31686,-0.31746,-0.041109,-0.10657,-0.1642,-0.1991,-1.2322,-1.2508,-0.082717,-0.088355,0.28484,0.26908,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057449,-0.28274,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.35278,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.012085,0.00060976,0.014705,0.33836,0.0031397,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.721,-0.34715,-0.32759,-0.25498,1.2124,0.47398,-0.015809,-0.22162,-0.12786,-0.12836,-0.041109,-0.10657,-0.1642,-0.1991,-0.11112,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.057455,-0.28274,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.3405,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0059919,0.00079396,0.014705,0.33836,0.012102,0.0078208,1.0006,-1.4562,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7201,-0.43675,-0.45397,-0.12089,1.2124,0.47398,-0.015809,-0.2736,-0.31686,-0.31746,-0.041109,-0.10657,-0.1642,-0.1991,-1.2636,-1.2508,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.056441,-0.10729,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.025498,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0054023,0.027571,0.02676,0.33836,0.0039021,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7193,-0.18585,-0.13802,-0.13966,1.2124,0.47398,-0.015809,-0.078671,-0.064857,-0.06532,-0.041109,-0.10657,-0.1642,-0.1991,-0.13843,-0.14018,-0.082717,-0.088355,0.45241,0.26908,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.056478,-0.15742,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.0091339,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.013384,0.019604,0.02676,0.33836,0.013047,0.0078208,1.0006,-1.4562,0.24166,0.31962,-0.31693,-1.5582,0.34021,0.18825
-1.7184,-0.16196,-0.13802,-0.20403,1.2124,0.47398,-0.015809,-0.31258,-0.31686,-0.31746,-0.041109,-0.10657,-0.1642,-0.1991,-1.2381,-1.2508,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.053446,-0.13235,-0.022084,-0.021213,-0.056967,-0.058727,0.47366,6.2204,-0.068521,-0.0575,-0.14414,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.18262,0.02315,0.02676,0.33836,0.0070751,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7176,-0.19183,-0.13802,-0.021656,1.2124,0.47398,-0.015809,-0.078671,-0.064857,-0.06532,-0.041109,-0.10657,-0.1642,-0.1991,-0.15145,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055787,-0.0070349,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.28732,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0065627,0.038783,0.034797,0.33836,0.013834,0.0078208,1.0006,-1.4562,0.24166,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7167,-0.096246,-0.16962,-0.18793,1.2124,0.47398,-0.015809,-0.24761,-0.31686,-0.31746,-0.041109,-0.10657,-0.1642,-0.1991,-1.2475,-1.2508,-0.082717,-0.088355,0.53153,0.26908,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.053239,-0.057162,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.78861,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.18845,0.038806,0.034797,0.33836,0.0075621,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7158,-0.20377,-0.23281,-0.10211,1.2124,0.47398,-0.015809,-0.11766,-0.12786,-0.12836,-0.041109,-0.10657,-0.1642,-0.1991,-0.69821,-0.14018,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055653,-0.082226,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.017316,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.005877,0.033672,0.02877,0.33836,0.0092452,0.0078208,1.0006,-1.4562,0.10557,-2.407,2.3139,0.57175,-0.067573,0.18825
-1.715,-0.042481,0.17793,0.29749,1.2124,0.47398,-0.015809,0.12925,-0.25386,-0.25443,-0.041109,-0.10657,-0.1642,-0.1991,-0.65533,-1.2508,-0.082717,-0.088355,0.26157,0.26908,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.04982,0.66968,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.18723,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.014305,0.16589,0.093066,0.33836,0.015706,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7141,0.13076,0.43069,0.73196,1.2124,0.47398,-0.015809,0.36316,-0.19086,-0.19139,-0.041109,-0.10657,-0.1642,-0.1991,-0.70944,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.047462,0.87019,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,0.00723,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0076229,0.20938,0.10512,0.33836,0.017285,0.0078208,1.0006,-1.4562,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7132,-0.16196,0.019955,0.26799,1.2124,0.47398,-0.015809,-0.00070155,-0.25386,-0.25443,-0.041109,-0.10657,-0.1642,-0.1991,-0.65916,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.052139,0.26867,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.017316,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0065464,0.093657,0.058908,0.33836,0.012864,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7124,-0.3352,-0.2644,-0.10748,1.2124,0.47398,-0.015809,-0.052681,-0.19086,-0.19139,-0.041109,-0.10657,-0.1642,-0.1991,-0.6464,-0.6955,-0.082717,-0.088355,0.35,0.26908,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055783,-0.057162,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.36505,0,0.47322,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.013114,0.037931,0.032788,0.33836,0.0097404,0.0078208,1.0006,-1.4562,0.10557,0.31962,-0.31693,0.57175,-0.067573,0.18825
-1.7115,-0.29936,-0.296,0.01589,1.2124,0.47398,-0.015809,-0.19563,-0.25386,-0.25443,-0.041109,-0.10657,-0.1642,-0.1991,-0.73216,-0.6955,-0.082717,-0.088355,-0.23648,-0.24358,-0.022361,-0.172,-0.174,-0.033382,-0.036281,-0.022252,-0.022361,-0.055091,-0.0070349,-0.022084,-0.021213,-0.056967,-0.058727,-0.088801,-0.11238,-0.068521,-0.0575,-0.017316,0,-0.18169,0.042935,-0.051486,-0.053134,-0.02833,-0.96234,-0.030006,-0.023555,-0.021926,-0.097365,-0.12487,-0.069985,-0.075578,-0.035342,-0.036909,-0.015809,-0.015809,0.0060483,0.042421,0.036807,0.33836,0.009313,0.062448,-0.99913,-1.4562,-0.16659,0.31962,-0.31693,0.57175,-0.067573,0.18825
